title,year,female_lead,working_woman,women_in_stem_or_politics,passes_simple_bechdel,theme_type
Kabali,2016,No,No,No,Unknown,Action
Kaithi,2019,No,No,No,No,Action
96,2018,Yes,Yes,No,Yes,Romance
Asuran,2019,No,Yes,No,No,Social issue
Super Deluxe,2019,Yes,Yes,Yes,Yes,Social issue
Sarpatta Parambarai,2021,No,No
Jai Bhim,2021,Yes,Yes
Master,2021,No,No
Soorarai Pottru,2020,Yes,Yes
Karnan,2021,No,No
Vikram Vedha,2017,No,No
Aruvi,2017,Yes,Yes
Ratsasan,2018,No,No
Thani Oruvan,2015,No,No
Kaala,2018,No,Yes
Pariyerum Perumal,2018,No,No
Visaranai,2015,No,No
Irudhi Suttru,2016,Yes,Yes
Dhuruvangal Pathinaaru,2016,No,No
Magamuni,2019,No,Yes
